Triplets	Phrase générée	Phrase attendue
Adjusted EBITDA | incBy | $10.6 million, or 60.2%, && Adjusted EBITDA | incTo | $28.2 million && $28.2 million | endDate | in the year ended December 31, 2015	<pad> Adjusted EBITDA increased by $10.6 million, or 60.2%, to $2	Adjusted EBITDA increased by $10.6 million, or 60.2%, to $28.2 million in the year ended December 31, 2015.
common stock | incTo | $5.1 billion	<pad> For the first five years, the first common stock total increase was $5.1 billion.</s>	The total authorization outstanding for repurchases of the Company’s common stock was increased to $5.1 billion .
equity ratio | valIs | 76% && 76% | dTime | at the end of Q3 2019 && 76% | comTo | 62% && 62% | dTime | at the end of 2018	<pad> The Group’s equity ratio was 76% at the end of Q3, 2019, compared with	The Group’s equity ratio is 76% at the end of Q3 2019, compared to 62% at the end of 2018.
Other liabilities Other liabilities | valIs | €147.5 million && €147.5 million | dTime | as of June 30, 2019 && €147.5 million | comTo | €129.7 million && €129.7 million | dTime | December 31, 2018	<pad> Other liabilities Other liabilities were €147.5 million as of June 30, 2019 (December 31, 2018:	Other liabilities Other liabilities totaled €147.5 million as of June 30, 2019 (December 31, 2018: €129.7 million).
The equity ratio | valIs | 40% && 40% | dTime | as at 31 March 2020	<pad> The equity ratio as at 31 March 2020 was 40%.</s>	The equity ratio as at 31 March 2020 was 40%.
Selling expenses | dFrom | $212.7 million && $212.7 million | startDate | in fiscal 2014 && Selling expenses | decTo | $212.5 million && $212.5 million | endDate | in fiscal 2015 && Selling expenses | decBy | a 0.1%	<pad> Selling expenses were reduced to $212.5 million in fiscal 2015, down a 0.1% from	Selling expenses decreased from $212.7 million in fiscal 2014 to $212.5 million in fiscal 2015, a 0.1% decrease.
buybacks and dividends Net interest-bearing debt | valIs | USD 180 million && USD 180 million | dTime | at the end of 2018 && USD 180 million | comTo | USD 121 million && USD 121 million | dTime | at year && Capital | jPose | share && share | jPose | buybacks and dividends Net interest-bearing debt	<pad> Capital realised share of buybacks and dividends Net interest-bearing debt at	Capital structure, share buybacks and dividends Net interest-bearing debt at the end of 2018 amounted to USD 180 million compared to USD 121 million at year-end 2017.
On-market share purchases for the DRP | valIs | $185 million && $185 million | dTime | in 2020 && $185 million | comTo | $432 million && $432 million | dTime | Sep 19 full year	<pad> On-market share purchases for the DRP in 2020 were $185 million (Sep	On-market share purchases for the DRP in 2020 were $185 million (Sep 19 full year: $432 million).
Taxes | valIs | CHF 587 million && CHF 587 million | dTime | At December 31, 2019 && CHF 587 million | comTo | CHF 579 million && CHF 579 million | dTime | 2018 && Taxes | jPose | the unrecognized deferred tax assets	<pad> Taxes amounted to CHF 587 million (2018: CHF 579	Taxes At December 31, 2019, the unrecognized deferred tax assets amount to CHF 587 million (2018: CHF 579 million).
The gross margin on sales | dFrom | 42,7% && 42,7% | startDate | in the first quarter of 2018 && The gross margin on sales | decTo | 39,6% && 39,6% | endDate | in the first quarter of 2019	<pad> The gross margin on sales decreased to 39,6% in the first quarter of 2019 from 42,	The gross margin on sales decreased from 42,7% in the first quarter of 2018 to 39,6% in the first quarter of 2019.
Accumulated other comprehensive income | decBy | ¥278,650 million && ¥278,650 million | dTime | year on year	<pad> Accumulated other comprehensive income decreased by <unk>278,650 million year on year,	Accumulated other comprehensive income declined by ¥278,650 million year on year.
Discount rates used | valIs | 7.4 percent && 7.4 percent | comTo | 7.4 percent && 7.4 percent | dTime | 2014	<pad> Discount rates used to calculate underlying income were 7.4 percent (2014: 7.4 percent).	Discount rates used in determining the value in use were 7.4 percent (2014: 7.4 percent).
Purchases of property, plant and equipment | valIs | €19.6 million && €19.6 million | dTime | during the period	<pad> Purchases of property, plant and equipment during the period totaled €19.6 million	Purchases of property, plant and equipment amounted to €19.6 million during the period.
Our effective tax rate | valIs | 37.6% && 37.6% | dTime | for fiscal year 2015 && 37.6% | comTo | 38.7% && 38.7% | dTime | for fiscal year 2014	<pad> Our effective tax rate was 37.6% for fiscal year 2015, compared to 38.7%	Our effective tax rate was 37.6% for fiscal year 2015, compared to 38.7% for fiscal year 2014.
US$132.6 million | diGeo | in Greater China	<pad> Growing China, US$132.6 million was recorded in Greater China in Greater China.</s>	During the six months ended 30 June 2019, we recorded the mobile advertising revenue from app developers in Greater China region of US$132.6 million, accounting for 58.9% of our mobile advertising revenue.
operating revenues in Other Developed operations | incBy | 11 percent && 11 percent | dTime | in Q2 2017	<pad> In addition, operating revenues in Other Developed operations increased by 11 percent in Q2 2017.</s>	Other Developed operations The growth of operating revenues in Other Developed operations was 11 percent in Q2 2017.
Current liabilities | decBy | more than CHF 1.2 billion	<pad> Current liabilities were down more than CHF 1.2 billion, or 1.1% compared to the	Current liabilities decreased by more than CHF 1.2 billion.
Asia Pacific Net invested capital | valIs | €296,954 thousand && €296,954 thousand | dTime | at 31 December 2016 && Asia Pacific Net invested capital | incBy | €7,268 thousand	<pad> Asia Pacific Net invested capital amounted to €296,954 thousand at 31 December 2016,	Asia Pacific Net invested capital came to €296,954 thousand at 31 December 2016, an increase of €7,268 thousand against the amount recorded at 31 December 2015.
EBIT | decBy | 3.2%	<pad> After a slight decline of 3.2%, EBIT decreased by 3.2%.</s>	Not considering Abertis, EBIT decreased by 3.2%.
Solutions revenues | decBy | 15% && Solutions revenues | decTo | EUR 0.27 million (0.32)	<pad> Research and Development (R&D) Solutions revenues fell 15% to EUR 0.27 million (0.3	Solutions revenues decreased 15% to EUR 0.27 million (0.32).
The total cost for the transferred shares | valIs | SEK 12 million && transaction costs, net of tax | valIs | SEK 0 million && The total cost for the transferred shares | jPose | transaction costs, net of tax	<pad> The total cost for the transferred shares was SEK 12 million and transaction costs, net of tax	The total cost for the transferred shares was SEK 12 million and transaction costs, net of tax, amounted to SEK 0 million.
Operating margin | valIs | 7.4% && 7.4% | comTo | 7.2% && 7.2% | dTime | 2016	<pad> Operating margin was 7.4% (2016: 7.2%).</s>	Operating margin was 7.4% (2016: 7.2%).
The total cash outflow for leases | valIs | € 89.0 million	<pad> The total cash outflow for leases was € 89.0 million, at the end	The total cash outflow for leases amounted to € 89.0 million
property, plant and equipment | valIs | EUR 753,061 thousand && EUR 753,061 thousand | dTime | At 30 June 2015 && EUR 753,061 thousand | comTo | EUR 768,709 thousand && EUR 768,709 thousand | dTime | 31 December 2014	<pad> At 30 June 2015, property, plant and equipment amounted to EUR 753,061	At 30 June 2015, property, plant and equipment amounted to EUR 753,061 thousand (31 December 2014: EUR 768,709 thousand).
The operational EBITDA | valIs | 8.0% && 8.0% | dTime | in Q1 2018 && 8.0% | comTo | 9.6% && 9.6% | dTime | in the same period in 2017	<pad> The operational EBITDA in Q1 2018 was 8.0%, compared to 9.6% in	The operational EBITDA margin* in Q1 2018 was 8.0% compared to 9.6% in the same period in 2017.
a tax benefit | valIs | $13 million && $13 million | dTime | in 2019 && a provision | valIs | $122 million && $122 million | dTime | in 2018 && a tax benefit | jPose | a provision	<pad> After a tax benefit of $13 million in 2019 and a provision of $122 million	We recorded a tax benefit of $13 million in 2019 and a provision of $122 million in 2018.
pension expenses | valIs | $556.5 million && $556.5 million | dTime | For the year ended June 30, 2017	<pad> For the year ended June 30, 2017, pension expenses were $556.5 million.</s>	For the year ended June 30, 2017, the State recognized pension expenses of $556.5 million.
Equity | incBy | €1.2 billion && Equity | incTo | €9.1 billion	<pad> Equity rose by €1.2 billion to €9.1 billion, a record high level of €	Equity 2 rose by €1.2 billion, to €9.1 billion.
Revenue for the first half | valIs | €4,203 million && Revenue for the first half | decBy | 9% && 9% | dTime | on the first half of 2019	<pad> Revenue for the first half was €4,203 million, down 9% on the first half of	Revenue for the first half was €4,203 million, down 9% on the first half of 2019 or 7% on an underlying basis.
earnings before tax from the Buildings | incTo | $8.6 million && $8.6 million | endDate | Fourth quarter && earnings before tax from the Buildings | incBy | $4.6 million	<pad> Fourth quarter earnings before tax from the Buildings Group increased to $8.6 million, an increase	Fourth quarter earnings before tax from the Buildings Group increased to $8.6 million, up $4.6 million from EBT of $4.0 million in 2016.
revenue | incBy | 33.6% && revenue | iFrom | US$15.2 million && US$15.2 million | startDate | in the prior year && revenue | incTo | US$20.3 million && US$20.3 million | endDate | in 2019 && 33.6% | diGeo | In US && US$15.2 million | diGeo | from	<pad> In US Dollar, revenue rose by 33.6% to US$20.3 million in 2019 from	In US dollars, revenue increased by 33.6% to US$20.3 million in 2019 from US$15.2 million in the prior year.
The adjusted EBITDA margin of Branded Products | valIs | 27.2% && 27.2% | comTo | 26.4% && 26.4% | dTime | 1-9/2016	<pad> The adjusted EBITDA margin of Branded Products was 27.2% (1-9/2016:	The adjusted EBITDA margin of Branded Products was 27.2% (1-9/2016: 26.4%).
cash payments for income taxes | valIs | approximately $4 million && approximately $4 million | dTime | in 2016	<pad> The portion of cash payments for income taxes in 2016 is approximately $4 million.</s>	For example, in 2016, we currently expect cash payments for income taxes to be approximately $4 million.
Segment revenue | incBy | 191.4% && 191.4% | dTime | year on year && Segment revenue | incTo | ¥3,507,417 thousand && segment profit | incBy | 379.5% && 379.5% | dTime | year on year && segment profit | incTo | ¥550,433 thousand && Segment revenue | jPose | segment profit	<pad> Segment revenue grew by 191.4% year on year to <unk>3,507 thousand	Segment revenue increased by 191.4% year on year to ¥3,507,417 thousand, and segment profit increased by 379.5% year on year to ¥550,433 thousand.
